epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,402.973,2.12211,2.7556,2.55675,2.51432,0.4778,0.34092,0.32653,0.18795,0.47915,0.33468,0.31978,0.19352,1.57833,2.12258,1.70647,1.78074,0.000222104,0.000222104,0.000222104
2,802.138,1.4062,1.95091,1.40931,1.5204,0.58191,0.35718,0.36429,0.23462,0.59124,0.33997,0.35235,0.22829,1.34185,1.96667,1.50973,1.47094,0.000429771,0.000429771,0.000429771
3,1189.22,1.30202,1.85834,1.31378,1.39761,0.54614,0.38371,0.38347,0.25287,0.56624,0.3569,0.3626,0.24458,1.27034,1.90909,1.46953,1.40014,0.000622764,0.000622764,0.000622764
4,1579.33,1.23456,1.78712,1.24516,1.32229,0.52482,0.39208,0.41071,0.2662,0.50728,0.38289,0.39734,0.26286,1.21361,1.82275,1.36958,1.33779,0.000600967,0.000600967,0.000600967
5,1965.28,1.16659,1.72198,1.15685,1.26956,0.51114,0.43166,0.41559,0.27645,0.54144,0.40572,0.40044,0.26755,1.16336,1.79064,1.37129,1.29135,0.000578956,0.000578956,0.000578956
6,2365.81,1.12467,1.65906,1.09715,1.23227,0.49532,0.43502,0.43944,0.29342,0.4634,0.4139,0.41522,0.28125,1.1418,1.71335,1.24855,1.2663,0.000556945,0.000556945,0.000556945
7,2759.54,1.08149,1.63052,1.05204,1.19978,0.56665,0.43661,0.46051,0.31289,0.52922,0.43002,0.44624,0.30536,1.11239,1.69252,1.20507,1.2362,0.000534934,0.000534934,0.000534934
8,3145.27,1.06709,1.61633,1.01222,1.18109,0.57797,0.4642,0.4655,0.32637,0.5663,0.45188,0.45028,0.31457,1.05465,1.61049,1.17838,1.20443,0.000512923,0.000512923,0.000512923
9,3534.15,1.03731,1.57776,0.97288,1.15735,0.56736,0.47836,0.47887,0.33719,0.55138,0.45885,0.45815,0.31737,1.03082,1.56368,1.15342,1.17496,0.000490912,0.000490912,0.000490912
10,3925.37,1.01831,1.54025,0.95034,1.1424,0.59843,0.50311,0.49295,0.34431,0.58168,0.49252,0.47964,0.33026,1.00776,1.54623,1.12012,1.15897,0.000468901,0.000468901,0.000468901
