epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
11,4307.73,0.98341,1.50682,0.91592,1.1215,0.56922,0.52567,0.50307,0.35815,0.55477,0.51225,0.48843,0.34349,0.97488,1.52393,1.07659,1.13405,0.00044689,0.00044689,0.00044689
12,4686.21,0.96983,1.46886,0.88603,1.1107,0.56652,0.51744,0.51442,0.36702,0.61824,0.48298,0.49859,0.34458,0.96678,1.49889,1.0659,1.12897,0.000424879,0.000424879,0.000424879
13,5068.93,0.94984,1.46836,0.86383,1.09263,0.58407,0.52912,0.52208,0.37797,0.56268,0.51655,0.50584,0.35365,0.9392,1.46035,1.06606,1.11089,0.000402868,0.000402868,0.000402868
14,5451.34,0.92483,1.41703,0.83985,1.07748,0.65926,0.52312,0.5395,0.3907,0.64074,0.50478,0.51614,0.3696,0.91846,1.46285,1.06617,1.09043,0.000380857,0.000380857,0.000380857
15,5831.89,0.90785,1.39418,0.81927,1.06882,0.70353,0.49969,0.54428,0.40009,0.68553,0.48304,0.52611,0.37832,0.90657,1.45077,1.03554,1.08205,0.000358846,0.000358846,0.000358846
16,6213.22,0.90019,1.39518,0.80611,1.05626,0.62853,0.50017,0.52472,0.39033,0.61174,0.4884,0.51006,0.36476,0.90103,1.43526,1.05723,1.07876,0.000336835,0.000336835,0.000336835
17,6598.52,0.88357,1.3692,0.78669,1.04627,0.61822,0.5216,0.53055,0.39568,0.60121,0.50466,0.51041,0.3723,0.88315,1.41267,1.03538,1.06485,0.000314824,0.000314824,0.000314824
18,6984.48,0.87812,1.36923,0.77477,1.03777,0.61922,0.5206,0.5424,0.40112,0.60523,0.5192,0.52457,0.38045,0.86633,1.41491,1.02972,1.05804,0.000292813,0.000292813,0.000292813
19,7366.14,0.86727,1.34315,0.76264,1.03151,0.59815,0.55058,0.55177,0.41495,0.59504,0.52316,0.52675,0.38193,0.84685,1.38518,1.03047,1.04439,0.000270802,0.000270802,0.000270802
20,7747.4,0.84656,1.32079,0.74442,1.02132,0.67088,0.52445,0.55683,0.41809,0.64966,0.51527,0.5379,0.38819,0.83701,1.38186,0.99612,1.0311,0.000248791,0.000248791,0.000248791
21,8135.94,0.84433,1.29702,0.69049,1.01263,0.66378,0.5599,0.5658,0.43151,0.64529,0.54489,0.54447,0.39689,0.82387,1.37175,1.01049,1.02372,0.00022678,0.00022678,0.00022678
22,8519.29,0.82346,1.27057,0.65925,0.99601,0.68673,0.5452,0.57744,0.43878,0.69222,0.51532,0.55051,0.40674,0.81249,1.33378,0.98837,1.01476,0.000204769,0.000204769,0.000204769
23,8902.8,0.80722,1.24543,0.63892,0.98859,0.65576,0.56375,0.57407,0.43621,0.64669,0.54391,0.54986,0.4012,0.79824,1.32645,0.98682,1.00866,0.000182758,0.000182758,0.000182758
24,9282.45,0.7908,1.22887,0.62746,0.97805,0.65157,0.56379,0.57376,0.43991,0.63436,0.55215,0.5559,0.40857,0.79209,1.30195,0.98599,1.00379,0.000160747,0.000160747,0.000160747
25,9666.86,0.78155,1.21266,0.60879,0.97471,0.67867,0.56498,0.58459,0.44876,0.65972,0.54882,0.56583,0.41206,0.78422,1.29825,0.98277,0.99657,0.000138736,0.000138736,0.000138736
26,10042,0.7648,1.19958,0.5959,0.96315,0.68371,0.57715,0.5888,0.45425,0.64991,0.56473,0.56578,0.41795,0.77895,1.29911,0.98386,0.99168,0.000116725,0.000116725,0.000116725
27,10428.3,0.75697,1.19143,0.583,0.95502,0.70575,0.56684,0.59201,0.4532,0.69095,0.54816,0.56846,0.4159,0.76501,1.29468,0.97343,0.98414,9.4714e-05,9.4714e-05,9.4714e-05
28,10813.2,0.74324,1.17316,0.56946,0.94596,0.6978,0.57667,0.59267,0.45745,0.6745,0.56237,0.5697,0.41807,0.75734,1.29408,0.96672,0.98093,7.2703e-05,7.2703e-05,7.2703e-05
29,11198,0.73411,1.15964,0.561,0.94212,0.68549,0.58919,0.59917,0.4642,0.67042,0.57484,0.57599,0.42243,0.75402,1.2839,0.97168,0.97777,5.0692e-05,5.0692e-05,5.0692e-05
30,11579,0.72482,1.16174,0.54846,0.93781,0.69863,0.58628,0.60162,0.465,0.65173,0.58608,0.57887,0.42451,0.75232,1.28264,0.99861,0.9764,2.8681e-05,2.8681e-05,2.8681e-05
