epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,191.257,3.22082,6.25946,5.69616,4.005,0,0.47641,0.01556,0.00719,0.0026,0.47656,0.01593,0.00777,0.00335,2.68022,4.10479,3.77899,3.34511,0,0.00997938,0.00332646,0.00997938,0.00332646,0.00997938,0.00332646,0.00997938,0.00332646
2,356.694,2.3421,3.65929,4.11242,2.76153,0,0.42759,0.08657,0.03889,0.01887,0.42948,0.0875,0.03854,0.01839,2.02125,3.55383,3.23145,2.31575,0,0.0198475,0.00661584,0.0198475,0.00661584,0.0198475,0.00661584,0.0198475,0.00661584
3,520.73,1.87922,3.21808,3.30323,2.07198,0,0.33489,0.15541,0.0691,0.03709,0.33356,0.14842,0.06652,0.03328,1.78071,3.30654,3.20992,1.91982,0,0.0295837,0.00986122,0.0295837,0.00986122,0.0295837,0.00986122,0.0295837,0.00986122
4,677.465,1.68153,2.95926,2.91479,1.77079,0,0.4661,0.13124,0.08456,0.05298,0.47358,0.12697,0.08147,0.04849,1.5928,2.92557,2.71961,1.67954,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,834.368,1.56326,2.81383,2.70238,1.63832,0,0.40095,0.16235,0.10771,0.06842,0.40083,0.15896,0.10289,0.06337,1.51964,2.79006,2.5852,1.58712,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,990.125,1.494,2.68921,2.55707,1.55302,0,0.43493,0.17905,0.12512,0.08064,0.43268,0.17514,0.12057,0.0762,1.47966,2.67278,2.44632,1.53302,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1145.47,1.44487,2.59312,2.45045,1.5006,0,0.4304,0.21084,0.14717,0.09779,0.42635,0.20186,0.13935,0.09173,1.37975,2.57981,2.32543,1.44973,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1302.21,1.40342,2.53554,2.37092,1.45322,0,0.35878,0.20294,0.1568,0.10849,0.35858,0.18871,0.14865,0.09811,1.34883,2.49899,2.27899,1.41215,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1457.54,1.37102,2.4768,2.30178,1.41868,0,0.37074,0.22223,0.17284,0.11841,0.36761,0.21309,0.16301,0.10474,1.33218,2.51805,2.19317,1.37947,0,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1613.87,1.34406,2.4282,2.22805,1.38809,0,0.35784,0.23256,0.18244,0.12645,0.35484,0.22476,0.17502,0.11898,1.28469,2.41789,2.1919,1.35483,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,1771.73,1.31485,2.36528,2.17182,1.36066,0,0.41385,0.2359,0.20328,0.14159,0.40264,0.22793,0.1935,0.12792,1.28604,2.38561,2.0934,1.3364,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,1928.78,1.29843,2.34708,2.12331,1.34762,0,0.39664,0.23477,0.20419,0.14615,0.39724,0.2263,0.19337,0.12815,1.23902,2.38777,2.0912,1.30182,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,2092.71,1.27394,2.31936,2.06782,1.31899,0,0.47142,0.26742,0.22797,0.16127,0.45838,0.25648,0.21478,0.14201,1.22506,2.26624,2.00392,1.29725,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
