epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,195.411,3.14834,6.41011,5.61993,3.93232,0,0.38659,0.02601,0.00837,0.00304,0.38761,0.02802,0.00917,0.00353,2.58287,4.05675,3.71119,3.2387,0,0.00997938,0.00332646,0.00997938,0.00332646,0.00997938,0.00332646,0.00997938,0.00332646
2,363.343,2.25981,3.65887,4.01939,2.71427,0,0.25915,0.10254,0.04515,0.0223,0.26445,0.09963,0.04354,0.02246,2.01549,3.48359,3.15403,2.4263,0,0.0198475,0.00661584,0.0198475,0.00661584,0.0198475,0.00661584,0.0198475,0.00661584
3,529.578,1.85775,3.23203,3.30165,2.11326,0,0.33988,0.17028,0.05869,0.0326,0.33943,0.16455,0.05597,0.03155,1.7515,3.25765,3.181,1.96298,0,0.0295837,0.00986122,0.0295837,0.00986122,0.0295837,0.00986122,0.0295837,0.00986122
4,690.397,1.67204,2.96853,2.92857,1.82007,0,0.38354,0.15257,0.07072,0.04052,0.38261,0.14832,0.06708,0.0385,1.6082,2.97233,2.8443,1.74329,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,850.867,1.56534,2.83581,2.72103,1.69562,0,0.43456,0.16437,0.10871,0.07092,0.43796,0.16163,0.10655,0.06577,1.54391,2.81896,2.60881,1.65446,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1011.17,1.49926,2.71499,2.57748,1.60773,0,0.47239,0.16385,0.12778,0.08058,0.46975,0.16034,0.12245,0.07488,1.46188,2.69764,2.47165,1.56382,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1171.59,1.44916,2.62001,2.47856,1.55662,0,0.4089,0.21004,0.13565,0.09019,0.41586,0.19543,0.13036,0.08317,1.40363,2.65808,2.39433,1.5061,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1332.43,1.41437,2.56419,2.39725,1.51318,0,0.3319,0.19955,0.15019,0.09968,0.32742,0.19243,0.14235,0.09143,1.37411,2.55174,2.33984,1.48701,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1489.55,1.38489,2.50913,2.32922,1.48575,0,0.38696,0.21318,0.17161,0.11759,0.37071,0.20164,0.15986,0.10264,1.3276,2.52282,2.21161,1.4397,0,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1647.13,1.35585,2.46698,2.26257,1.45836,0,0.49937,0.21698,0.18191,0.1262,0.53253,0.20258,0.17498,0.11655,1.30145,2.47261,2.17882,1.41935,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,1806.55,1.32843,2.40282,2.20049,1.43235,0,0.41178,0.21771,0.18873,0.13146,0.39929,0.2083,0.1794,0.11694,1.29284,2.45565,2.11615,1.40828,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,1965.15,1.31795,2.38202,2.16053,1.41944,0,0.42921,0.23162,0.18881,0.13618,0.42048,0.21304,0.17749,0.11999,1.26727,2.42586,2.17062,1.37677,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,2123.04,1.29429,2.3632,2.10992,1.39131,0,0.44867,0.26478,0.21222,0.15063,0.4369,0.25464,0.19779,0.13287,1.24368,2.31867,2.04522,1.35385,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,2284.54,1.28041,2.30421,2.07234,1.37634,0,0.43679,0.24812,0.21284,0.15302,0.44888,0.22757,0.19989,0.13525,1.25315,2.35896,2.02867,1.35612,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,2442.35,1.2594,2.26074,2.01787,1.35767,0,0.45072,0.24489,0.22912,0.16035,0.44696,0.22736,0.2146,0.14456,1.21511,2.27039,1.94593,1.32346,0,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
