epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,225.919,3.16227,6.11409,5.60723,3.93754,0,0.50176,0.01591,0.00972,0.0037,0.5038,0.01717,0.01073,0.00493,2.53636,3.98441,3.66812,3.20773,0,0.00998131,0.0033271,0.00998131,0.0033271,0.00998131,0.0033271,0.00998131,0.0033271
2,423.096,2.28082,3.61067,4.01975,2.65258,0,0.43585,0.08977,0.03951,0.02065,0.43629,0.08875,0.03816,0.0205,1.99,3.57516,3.27617,2.27125,0,0.0198494,0.00661648,0.0198494,0.00661648,0.0198494,0.00661648,0.0198494,0.00661648
3,611.25,1.82435,3.17206,3.21211,1.96682,0,0.44992,0.14015,0.07058,0.03985,0.45199,0.1393,0.06877,0.0371,1.73866,3.08433,2.9659,1.78463,0,0.0295856,0.00986185,0.0295856,0.00986185,0.0295856,0.00986185,0.0295856,0.00986185
4,793.656,1.63522,2.90713,2.84965,1.68576,0,0.55514,0.13062,0.10142,0.06166,0.45709,0.15174,0.09617,0.05801,1.55812,2.89953,2.71844,1.60456,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,974.898,1.53578,2.75764,2.64962,1.56427,0,0.75599,0.11767,0.13052,0.07994,0.75329,0.11442,0.11913,0.07297,1.46023,2.7054,2.54801,1.48559,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1157.69,1.45893,2.63894,2.51264,1.48047,0,0.36288,0.18001,0.14034,0.08915,0.46657,0.17006,0.13261,0.08035,1.41722,2.63099,2.47951,1.46542,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1338.36,1.39194,2.54815,2.40984,1.42492,0,0.32644,0.23147,0.15374,0.10326,0.32363,0.21596,0.14415,0.09167,1.35847,2.582,2.31891,1.37981,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1520.9,1.35099,2.45892,2.29577,1.37782,0,0.34275,0.23358,0.16077,0.11264,0.33587,0.22025,0.15606,0.10307,1.34355,2.53756,2.25281,1.37192,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1700.08,1.32078,2.42836,2.23941,1.34608,0,0.44427,0.20722,0.18563,0.12945,0.43119,0.20317,0.17555,0.11881,1.3123,2.44705,2.17082,1.33657,0,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1884.11,1.28733,2.36168,2.17227,1.32255,0,0.38938,0.23273,0.19562,0.14145,0.39169,0.22094,0.1873,0.12711,1.2476,2.39737,2.09071,1.29891,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,2064.84,1.26881,2.32335,2.1098,1.29902,0,0.30696,0.25249,0.20528,0.14482,0.30159,0.2422,0.1957,0.12964,1.2181,2.31753,2.04963,1.26776,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,2246.81,1.24433,2.28599,2.05395,1.28109,0,0.43137,0.25566,0.21953,0.15576,0.42264,0.24394,0.2064,0.13715,1.19859,2.32387,2.0271,1.26671,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,2427.92,1.21726,2.22882,2.00628,1.25635,0,0.42355,0.26564,0.22966,0.17015,0.41818,0.25201,0.2179,0.15267,1.17144,2.22836,1.94996,1.24248,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,2609.77,1.20119,2.19276,1.94699,1.23618,0,0.44939,0.26985,0.24566,0.17969,0.43728,0.25533,0.22749,0.156,1.16048,2.20975,1.87591,1.22127,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,2792.15,1.18456,2.14904,1.90223,1.22865,0,0.37922,0.28644,0.24908,0.1836,0.37549,0.26997,0.23481,0.16125,1.15349,2.16085,1.87168,1.2184,0,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,2973.65,1.16811,2.10537,1.84683,1.21185,0,0.41931,0.29707,0.26473,0.19786,0.41333,0.26391,0.24582,0.17006,1.1253,2.13748,1.80925,1.20031,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,3154.95,1.15083,2.08111,1.78437,1.19516,0,0.49613,0.30297,0.28403,0.20974,0.48284,0.29328,0.26741,0.18651,1.12945,2.09879,1.78004,1.1969,0,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,3337.85,1.13615,2.03751,1.74943,1.185,0,0.45981,0.33911,0.3173,0.23272,0.44654,0.31737,0.28824,0.19964,1.09089,2.05032,1.70962,1.16779,0,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,3520.51,1.12776,2.01429,1.71378,1.17253,0,0.46758,0.31812,0.31776,0.23698,0.4503,0.30499,0.29576,0.20835,1.09513,2.0334,1.68136,1.16259,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,3701.47,1.11454,1.99059,1.6607,1.1617,0,0.46591,0.32185,0.3291,0.24182,0.45425,0.30777,0.30752,0.2132,1.0751,2.00532,1.64206,1.16026,0,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,3882.31,1.09941,1.96225,1.62065,1.1517,0,0.38821,0.3303,0.32995,0.24965,0.37742,0.3203,0.31061,0.21828,1.06584,1.97708,1.61878,1.1519,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,4067.06,1.09158,1.94902,1.5728,1.14093,0,0.42614,0.35836,0.36016,0.2703,0.40307,0.34309,0.33227,0.23033,1.05191,1.92757,1.59308,1.13655,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,4247.33,1.07678,1.90918,1.53991,1.13109,0,0.46081,0.39014,0.38272,0.29012,0.44705,0.36513,0.3513,0.25018,1.02844,1.89046,1.49299,1.11766,0,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,4429.32,1.07209,1.88565,1.51153,1.12338,0,0.47924,0.36443,0.38879,0.2919,0.48212,0.34423,0.36186,0.25302,1.02125,1.86611,1.47922,1.11074,0,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,4611.02,1.05835,1.87313,1.45579,1.1146,0,0.51238,0.39352,0.4036,0.30432,0.48561,0.36629,0.37215,0.25822,1.00043,1.85701,1.44562,1.10662,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,4793.05,1.05613,1.84832,1.44445,1.11193,0,0.49683,0.37848,0.40809,0.31011,0.48481,0.35469,0.37933,0.26803,0.98514,1.81213,1.411,1.08635,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,4974.11,1.04096,1.82295,1.3958,1.10181,0,0.54306,0.4208,0.43496,0.3265,0.52634,0.38452,0.39432,0.2782,0.96995,1.78109,1.39191,1.07355,0,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,5156.74,1.02956,1.79637,1.36145,1.09465,0,0.56799,0.43582,0.45915,0.34945,0.54663,0.41933,0.42329,0.30164,0.96839,1.75778,1.36081,1.07489,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,5338.53,1.02386,1.7836,1.33643,1.0845,0,0.48261,0.4533,0.44393,0.33608,0.45437,0.43136,0.40824,0.29035,0.95827,1.76501,1.34634,1.0742,0,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,5520.35,1.00688,1.75485,1.30167,1.07777,0,0.53171,0.45621,0.46064,0.34705,0.50316,0.42962,0.42678,0.30037,0.95074,1.72111,1.30844,1.06012,0,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,5705.01,1.00765,1.74982,1.27854,1.07258,0,0.57101,0.44009,0.46501,0.35823,0.54934,0.4194,0.43336,0.3049,0.94735,1.73039,1.29041,1.06145,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,5885.35,1.00318,1.73972,1.25603,1.0701,0,0.53004,0.46818,0.48092,0.37005,0.54492,0.41679,0.44268,0.31437,0.93428,1.69194,1.26205,1.0502,0,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,6066.59,0.99245,1.7189,1.23333,1.0631,0,0.56762,0.47452,0.48706,0.37245,0.52629,0.45108,0.44718,0.31735,0.93445,1.67117,1.24131,1.04989,0,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,6247.28,0.98701,1.69563,1.21575,1.05931,0,0.56725,0.49085,0.5026,0.38947,0.54215,0.46994,0.469,0.33351,0.92361,1.67014,1.23144,1.03746,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,6429.8,0.97824,1.68654,1.18487,1.05352,0,0.61257,0.49034,0.52054,0.39573,0.57486,0.46913,0.48314,0.34411,0.91714,1.6526,1.19127,1.03769,0,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,6610.99,0.97181,1.66631,1.16631,1.04461,0,0.59785,0.5046,0.52258,0.39936,0.57977,0.48054,0.4872,0.34667,0.90905,1.64889,1.17559,1.02987,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,6792.74,0.96937,1.67738,1.15569,1.04599,0,0.63822,0.47692,0.52387,0.4087,0.60842,0.45844,0.48545,0.34771,0.89726,1.62286,1.16887,1.02693,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
