epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,263.58,3.21688,6.1195,5.75347,4.02464,0,0.38471,0.00881,0.00486,0.00153,0.3853,0.00955,0.0061,0.00243,2.70406,4.05549,3.88715,3.42484,0,0.00997938,0.00332646,0.00997938,0.00332646,0.00997938,0.00332646,0.00997938,0.00332646
2,438.153,2.39528,3.67695,4.22664,2.81157,0,0.33506,0.07966,0.03166,0.01518,0.34227,0.08011,0.03115,0.01522,2.09659,3.56835,3.31339,2.36528,0,0.0198475,0.00661584,0.0198475,0.00661584,0.0198475,0.00661584,0.0198475,0.00661584
3,613.675,1.91005,3.24995,3.35592,2.05586,0,0.43594,0.14299,0.06945,0.03772,0.43352,0.13635,0.06708,0.03491,1.81273,3.27398,3.08013,1.85451,0,0.0295837,0.00986122,0.0295837,0.00986122,0.0295837,0.00986122,0.0295837,0.00986122
4,779.247,1.68753,2.95481,2.92979,1.72544,0,0.33537,0.15224,0.08455,0.05235,0.53115,0.12156,0.08105,0.04783,1.59558,2.96971,2.99818,1.61798,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,943.934,1.55553,2.8002,2.69593,1.57456,0,0.409,0.17781,0.11782,0.07743,0.40409,0.17121,0.11295,0.07344,1.49552,2.72426,2.5729,1.50854,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1109.37,1.47875,2.66696,2.53826,1.48383,0,0.47992,0.18433,0.15125,0.09765,0.47484,0.17907,0.14557,0.0864,1.42619,2.63513,2.3826,1.43387,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1274.64,1.42045,2.56512,2.43332,1.42767,0,0.31625,0.22586,0.15141,0.10612,0.31697,0.20996,0.14713,0.0961,1.34952,2.54982,2.34349,1.37929,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1439.16,1.37702,2.50892,2.34339,1.38508,0,0.42304,0.21984,0.16248,0.11406,0.41621,0.20738,0.15336,0.10115,1.33337,2.50716,2.30246,1.35329,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1605.64,1.34301,2.4445,2.27001,1.35276,0,0.37793,0.216,0.17559,0.12743,0.37194,0.20866,0.16736,0.11515,1.29408,2.47635,2.19959,1.32522,0,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1770.88,1.31609,2.39036,2.2018,1.32722,0,0.37033,0.23558,0.18482,0.13054,0.62249,0.16736,0.17657,0.11988,1.2754,2.37996,2.15547,1.30085,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,1937.18,1.28124,2.32954,2.12627,1.29401,0,0.40563,0.25158,0.21346,0.15378,0.39869,0.23855,0.20215,0.13833,1.24977,2.33426,2.06215,1.28431,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,2103.18,1.26523,2.30383,2.08628,1.28237,0,0.41219,0.24547,0.20542,0.14602,0.40169,0.2297,0.19248,0.12725,1.23528,2.38446,2.18026,1.26491,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,2276.92,1.2424,2.27744,2.02723,1.26058,0,0.32983,0.27856,0.22457,0.16244,0.34725,0.24924,0.21104,0.14304,1.19878,2.24994,2.00481,1.24067,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,2446.2,1.23101,2.21616,1.98758,1.24475,0,0.44837,0.25144,0.22189,0.16441,0.45177,0.23417,0.20817,0.14378,1.2035,2.29385,1.9774,1.247,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,2610.22,1.20114,2.17611,1.92467,1.22247,0,0.39908,0.24582,0.24239,0.18053,0.36833,0.24799,0.23012,0.15973,1.17322,2.17334,1.91995,1.21933,0,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,2775.65,1.19288,2.14471,1.87516,1.21362,0,0.37963,0.26354,0.27074,0.20112,0.3644,0.25324,0.25469,0.1759,1.15426,2.15567,1.80348,1.20238,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,2942.05,1.17494,2.10196,1.80466,1.19406,0,0.36083,0.30676,0.2814,0.20753,0.44472,0.29226,0.2611,0.17998,1.11847,2.15849,1.78751,1.17559,0,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,3105.45,1.15425,2.07458,1.78145,1.18373,0,0.36896,0.32206,0.29166,0.21733,0.35764,0.30146,0.27389,0.19212,1.11974,2.08691,1.74471,1.16991,0,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,3271.53,1.14596,2.03821,1.73325,1.1727,0,0.37251,0.31994,0.29781,0.21994,0.3576,0.31063,0.28221,0.19357,1.12246,2.0407,1.75608,1.1687,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,3436.76,1.12939,2.02282,1.68317,1.15483,0,0.55413,0.31136,0.32165,0.23664,0.54744,0.29302,0.29701,0.20549,1.09883,2.01956,1.67133,1.1486,0,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,3602.57,1.12033,1.99524,1.64722,1.15155,0,0.44164,0.34762,0.31884,0.24076,0.4337,0.33415,0.30103,0.21405,1.08395,1.98194,1.68788,1.14416,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,3768.21,1.10595,1.95862,1.5971,1.14208,0,0.3779,0.35449,0.34407,0.25554,0.36837,0.33106,0.31831,0.22194,1.07585,1.97175,1.63949,1.1295,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
