epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,300.385,2.04055,4.21783,3.36005,2.65789,0.71124,0.35983,0.38371,0.25457,0.64886,0.32478,0.31729,0.13764,1.22109,3.26538,1.52099,1.61607,0.00332761,0.00332761,0.00332761
2,585.818,1.11386,2.93787,1.51075,1.30896,0.62132,0.44493,0.46965,0.33151,0.56412,0.37779,0.37087,0.17826,1.00674,2.83445,1.26554,1.20925,0.00655103,0.00655103,0.00655103
3,867.993,0.99475,2.63956,1.16988,1.13299,0.55794,0.47244,0.46347,0.32568,0.56302,0.38375,0.37827,0.18682,1.01296,2.68255,1.29028,1.16132,0.00966446,0.00966446,0.00966446
4,1150.74,0.99476,2.52394,1.10819,1.08994,0.5418,0.41865,0.44912,0.33152,0.53856,0.40754,0.39596,0.20539,0.93205,2.56571,1.21523,1.06835,0.009505,0.009505,0.009505
5,1436.79,0.95233,2.43433,1.04227,1.04603,0.56377,0.47847,0.4858,0.35909,0.53666,0.43017,0.41749,0.23487,0.8995,2.47421,1.196,1.03842,0.00934,0.00934,0.00934
6,1720.06,0.93451,2.36497,1.00327,1.02429,0.61455,0.46417,0.49307,0.37147,0.57234,0.42683,0.43175,0.23642,0.87495,2.40052,1.13834,1.01185,0.009175,0.009175,0.009175
7,2003.1,0.91845,2.32511,0.97108,1.00376,0.6224,0.4755,0.49697,0.37975,0.58145,0.43997,0.44675,0.24775,0.86101,2.35007,1.13623,0.99447,0.00901,0.00901,0.00901
8,2286.14,0.91144,2.29133,0.95277,0.98988,0.63454,0.46352,0.50166,0.38148,0.58635,0.42353,0.44455,0.25437,0.85744,2.3218,1.11153,0.98033,0.008845,0.008845,0.008845
9,2569.4,0.89161,2.23551,0.9285,0.98008,0.62017,0.49129,0.49782,0.37431,0.5783,0.44614,0.43835,0.2495,0.86686,2.32361,1.12464,0.98478,0.00868,0.00868,0.00868
10,2854.45,0.89041,2.21417,0.91118,0.97158,0.5943,0.50388,0.51177,0.3976,0.56637,0.45658,0.45598,0.25915,0.82759,2.29723,1.03294,0.95661,0.008515,0.008515,0.008515
11,3137.51,0.88078,2.19417,0.89363,0.96866,0.62358,0.48858,0.50603,0.38482,0.59653,0.45032,0.45496,0.26138,0.83845,2.24182,1.09459,0.96397,0.00835,0.00835,0.00835
12,3430.36,0.86959,2.16337,0.87302,0.96637,0.69065,0.51211,0.53979,0.41332,0.61827,0.48184,0.48187,0.28089,0.81522,2.226,1.01938,0.95166,0.008185,0.008185,0.008185
13,3714.4,0.86046,2.13861,0.85066,0.95786,0.67262,0.50377,0.52845,0.40766,0.64794,0.46685,0.47215,0.27972,0.81212,2.16376,1.03184,0.95185,0.00802,0.00802,0.00802
14,3997.91,0.84941,2.11714,0.84282,0.95314,0.64675,0.51418,0.53154,0.41279,0.62178,0.47434,0.4853,0.28818,0.80411,2.16203,1.00346,0.95387,0.007855,0.007855,0.007855
15,4281.25,0.83817,2.09425,0.82718,0.94826,0.63047,0.52908,0.53167,0.42007,0.58736,0.49307,0.47375,0.28345,0.79393,2.16249,1.0501,0.94159,0.00769,0.00769,0.00769
16,4566.82,0.83919,2.06996,0.82805,0.94623,0.66538,0.52951,0.54097,0.42434,0.62286,0.49387,0.4866,0.29444,0.78755,2.0986,1.01385,0.9403,0.007525,0.007525,0.007525
17,4848.63,0.83457,2.07876,0.81163,0.94615,0.65886,0.55431,0.54792,0.43175,0.60899,0.5111,0.4858,0.29496,0.76939,2.11651,0.97337,0.92916,0.00736,0.00736,0.00736
