epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,154.15,3.3112,5.64524,5.73848,3.78107,0,0.40927,0.02882,0.01273,0.00527,0.41058,0.02994,0.0136,0.00617,2.48052,4.06764,3.3434,2.96535,0,0.00997938,0.00332646,0.00997938,0.00332646,0.00997938,0.00332646,0.00997938,0.00332646
2,283.6,2.17381,3.66299,3.676,2.35846,0,0.35327,0.10244,0.0465,0.02321,0.3518,0.10168,0.04592,0.02277,1.94289,3.53697,2.92355,2.08338,0,0.0198475,0.00661584,0.0198475,0.00661584,0.0198475,0.00661584,0.0198475,0.00661584
3,410.731,1.79403,3.24268,2.9454,1.83531,0,0.51077,0.15176,0.07059,0.03847,0.51025,0.14962,0.06735,0.0374,1.69146,3.2136,2.76545,1.73178,0,0.0295837,0.00986122,0.0295837,0.00986122,0.0295837,0.00986122,0.0295837,0.00986122
4,530.559,1.62874,3.00351,2.61476,1.62105,0,0.54306,0.12426,0.08481,0.05114,0.54617,0.11411,0.08226,0.05019,1.53731,2.98611,2.48024,1.57258,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,649.557,1.51756,2.84302,2.43326,1.52454,0,0.48878,0.15744,0.10986,0.06943,0.48861,0.15634,0.10673,0.06591,1.46966,2.82318,2.34517,1.50111,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,768.027,1.45278,2.73704,2.3045,1.4479,0,0.47804,0.17151,0.13234,0.08328,0.47808,0.17001,0.12695,0.07861,1.43191,2.73225,2.2317,1.43576,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,887.269,1.40732,2.63609,2.21571,1.40441,0,0.38937,0.19062,0.14703,0.09846,0.38953,0.18756,0.14296,0.09314,1.35604,2.63977,2.13982,1.36921,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1004.81,1.36194,2.58279,2.14115,1.36305,0,0.41332,0.20113,0.15877,0.10567,0.41508,0.19581,0.15603,0.10033,1.3385,2.54892,2.07647,1.35946,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1120.99,1.33286,2.51942,2.08378,1.33624,0,0.37073,0.20322,0.16386,0.11017,0.36764,0.19869,0.15631,0.10249,1.33264,2.57692,2.06211,1.35095,0,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1239.97,1.30605,2.47737,2.02652,1.31115,0,0.44032,0.22453,0.17459,0.12,0.57759,0.17693,0.16774,0.1115,1.25914,2.46867,1.99694,1.30082,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,1359.9,1.27878,2.41399,1.9655,1.28741,0,0.37933,0.22644,0.19425,0.13677,0.37453,0.22232,0.18989,0.1284,1.24996,2.43748,1.93856,1.28229,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,1478.93,1.26117,2.3858,1.92929,1.27184,0,0.39579,0.23016,0.18439,0.12864,0.39221,0.22138,0.17642,0.11694,1.23287,2.42093,1.97613,1.25445,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,1598.01,1.24119,2.37166,1.88962,1.25106,0,0.40576,0.25435,0.20016,0.13813,0.39963,0.24759,0.19256,0.12744,1.22712,2.37244,1.90807,1.25158,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,1717.43,1.22837,2.316,1.85851,1.24179,0,0.3788,0.24322,0.19632,0.14142,0.37111,0.23552,0.18757,0.129,1.19909,2.40002,1.87963,1.23346,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,1836.39,1.20754,2.27586,1.80887,1.22212,0,0.45379,0.2557,0.22656,0.16305,0.46274,0.23487,0.21706,0.15005,1.16843,2.27543,1.79052,1.20948,0,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
