epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,222.728,3.20303,6.104,5.67691,3.97333,0,0.48356,0.02542,0.0098,0.00385,0.48524,0.02735,0.01068,0.00508,2.59305,4.13308,3.74533,3.27907,0,0.00998131,0.0033271,0.00998131,0.0033271,0.00998131,0.0033271,0.00998131,0.0033271
2,415.91,2.27317,3.61271,4.04735,2.6661,0,0.23017,0.09622,0.03244,0.01562,0.23098,0.09428,0.03304,0.01571,1.99216,3.47331,3.53018,2.28627,0,0.0198494,0.00661648,0.0198494,0.00661648,0.0198494,0.00661648,0.0198494,0.00661648
3,603.837,1.82857,3.16563,3.25302,1.9845,0,0.44007,0.13612,0.07075,0.03872,0.34209,0.14469,0.06705,0.03632,1.72218,3.10102,3.06197,1.8235,0,0.0295856,0.00986185,0.0295856,0.00986185,0.0295856,0.00986185,0.0295856,0.00986185
4,785.643,1.64918,2.90915,2.87244,1.7162,0,0.3008,0.16036,0.1111,0.06571,0.30131,0.15717,0.10662,0.06322,1.57026,2.86213,2.76983,1.62795,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,965.003,1.54083,2.74518,2.66092,1.5752,0,0.30082,0.16488,0.12716,0.08371,0.4577,0.12643,0.12216,0.07446,1.44617,2.70757,2.50272,1.47952,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1148,1.47124,2.66229,2.51965,1.48945,0,0.29536,0.19781,0.12676,0.08634,0.29303,0.19398,0.12195,0.08109,1.41381,2.66284,2.47804,1.45559,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1327.5,1.41352,2.56484,2.41314,1.43361,0,0.38376,0.2256,0.15994,0.10935,0.37678,0.21395,0.15007,0.0985,1.35687,2.50993,2.28669,1.39745,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1509.15,1.36268,2.46686,2.3148,1.39173,0,0.4018,0.21895,0.17151,0.11899,0.39445,0.20155,0.15989,0.10587,1.3108,2.48126,2.25666,1.36088,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1689.49,1.3285,2.4206,2.24639,1.35666,0,0.47394,0.23411,0.20301,0.13478,0.44383,0.22379,0.18776,0.11765,1.27176,2.40425,2.18495,1.32846,0,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1920.21,1.30337,2.3729,2.17215,1.3288,0,0.40209,0.26572,0.21094,0.14739,0.38938,0.25487,0.19988,0.13125,1.24639,2.39711,2.09365,1.29848,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,2100.76,1.27299,2.32718,2.1137,1.30314,0,0.40775,0.24995,0.20829,0.14823,0.39569,0.24318,0.196,0.13162,1.23192,2.31528,2.07043,1.28027,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
