epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,203.415,3.19545,6.23017,5.66072,3.96985,0,0.38726,0.03554,0.00877,0.0034,0.38931,0.03724,0.00956,0.00418,2.57292,4.11796,4.02078,3.25056,0,0.00997938,0.00332646,0.00997938,0.00332646,0.00997938,0.00332646,0.00997938,0.00332646
2,377.544,2.31777,3.7125,4.10508,2.7758,0,0.43465,0.08136,0.03345,0.01649,0.43536,0.07889,0.0329,0.01686,2.07421,3.57422,3.20522,2.43931,0,0.0198475,0.00661584,0.0198475,0.00661584,0.0198475,0.00661584,0.0198475,0.00661584
3,552.584,1.86227,3.25036,3.3351,2.13148,0,0.3384,0.14877,0.06497,0.03651,0.33658,0.15104,0.06586,0.03503,1.70865,3.16983,3.06563,1.93676,0,0.0295837,0.00986122,0.0295837,0.00986122,0.0295837,0.00986122,0.0295837,0.00986122
4,716.967,1.66812,2.98277,2.94432,1.84299,0,0.45803,0.1308,0.07172,0.04331,0.444,0.14464,0.06794,0.04019,1.61105,2.94899,2.83462,1.77723,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,883.654,1.55945,2.85067,2.7401,1.7233,0,0.38057,0.15133,0.10606,0.06661,0.37831,0.1488,0.10103,0.06141,1.52454,2.86198,2.67891,1.69637,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1048.13,1.49914,2.72748,2.59659,1.64873,0,0.49091,0.16991,0.126,0.07993,0.49193,0.16648,0.12381,0.07518,1.47589,2.76117,2.52236,1.62982,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1213.15,1.4467,2.63334,2.49185,1.59543,0,0.39788,0.20494,0.13103,0.0885,0.39852,0.20206,0.12596,0.08398,1.4041,2.65063,2.49156,1.56398,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1378.19,1.41111,2.57599,2.42047,1.5536,0,0.32259,0.1966,0.14903,0.10063,0.32509,0.19086,0.14317,0.09347,1.35972,2.5597,2.35464,1.51671,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1542.07,1.37362,2.51444,2.34437,1.52095,0,0.36649,0.20494,0.15735,0.10729,0.35625,0.19527,0.14893,0.09612,1.34167,2.56343,2.2896,1.49386,0,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1708.22,1.35152,2.47594,2.28061,1.49114,0,0.5531,0.19646,0.17192,0.11667,0.54756,0.18844,0.16507,0.10785,1.3269,2.50038,2.22612,1.47894,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,1873.81,1.32241,2.4145,2.22124,1.46342,0,0.37788,0.23242,0.18789,0.1322,0.36835,0.22429,0.17993,0.12133,1.29118,2.42839,2.14202,1.44736,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,2040.14,1.30628,2.3867,2.17319,1.44598,0,0.48658,0.21279,0.19136,0.13533,0.49659,0.192,0.18019,0.11832,1.25159,2.44577,2.24003,1.42296,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,2223.26,1.28798,2.3664,2.12652,1.42841,0,0.4126,0.25004,0.19057,0.13518,0.38456,0.23903,0.17776,0.11819,1.23952,2.34629,2.12855,1.40946,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,2391.88,1.26964,2.30967,2.08851,1.41362,0,0.44415,0.23748,0.20971,0.15554,0.42021,0.23925,0.19681,0.13427,1.22554,2.35168,2.02247,1.38279,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,2556.51,1.25038,2.27071,2.03693,1.39223,0,0.3951,0.27476,0.22638,0.16046,0.44413,0.25843,0.21701,0.14544,1.21398,2.25889,1.97909,1.36326,0,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,2722.93,1.2362,2.24978,1.98881,1.37834,0,0.37077,0.28884,0.23341,0.16679,0.36192,0.2771,0.21966,0.14664,1.20275,2.27787,1.95484,1.34591,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,2888.7,1.2251,2.20722,1.927,1.36337,0,0.37898,0.27676,0.246,0.17431,0.36366,0.26056,0.22751,0.15375,1.1957,2.25598,1.87722,1.33182,0,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,3059.47,1.20844,2.18328,1.9061,1.35842,0,0.35935,0.32544,0.26097,0.1878,0.34209,0.31105,0.24478,0.16887,1.18028,2.18842,1.859,1.33582,0,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,3225.2,1.19994,2.16138,1.86319,1.34274,0,0.47545,0.29573,0.26887,0.19689,0.46762,0.27935,0.25128,0.17151,1.15307,2.16655,1.83626,1.32571,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,3391.41,1.18738,2.14016,1.81543,1.32546,0,0.37371,0.32599,0.28955,0.2104,0.35903,0.31344,0.27361,0.17934,1.13821,2.15452,1.77798,1.29711,0,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,3556.53,1.16944,2.11694,1.78564,1.31727,0,0.36019,0.32568,0.29623,0.21547,0.35551,0.29796,0.27197,0.18781,1.13295,2.09109,1.73945,1.28776,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
