epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,6267.34,0.99557,1.70997,1.2479,1.06248,0,0.55314,0.46631,0.47966,0.36203,0.53829,0.44417,0.44782,0.31462,0.95168,1.69507,1.29004,1.05325,0,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,6520.85,0.98548,1.70411,1.20972,1.0548,0,0.54608,0.479,0.49096,0.37124,0.54975,0.44992,0.44799,0.31417,0.92746,1.68538,1.25069,1.03723,0,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,6822.53,0.97934,1.68142,1.1868,1.05117,0,0.62594,0.47969,0.50936,0.39334,0.59253,0.46081,0.47863,0.33807,0.92299,1.66732,1.20195,1.03753,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,7075.58,0.96803,1.65269,1.15858,1.0416,0,0.58598,0.49412,0.51765,0.39744,0.56873,0.46577,0.48064,0.34141,0.9008,1.62851,1.17538,1.0243,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,7326.13,0.96381,1.6403,1.13047,1.03846,0,0.63415,0.51815,0.53874,0.41437,0.60608,0.48649,0.50268,0.35452,0.89433,1.59982,1.14976,1.01324,0,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,7576.56,0.95131,1.62017,1.10103,1.03066,0,0.65537,0.50642,0.54308,0.41872,0.63004,0.47569,0.49966,0.35556,0.88827,1.59128,1.1412,1.01269,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,7825.65,0.94273,1.59962,1.07709,1.02507,0,0.64735,0.51269,0.54487,0.4158,0.6233,0.48733,0.5069,0.35536,0.87715,1.56455,1.12681,1.0042,0,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,8077.86,0.93592,1.58897,1.06253,1.01877,0,0.64623,0.5151,0.55061,0.42433,0.61123,0.48512,0.50499,0.36043,0.86959,1.5904,1.11752,1.00402,0,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,8329.3,0.932,1.58176,1.04275,1.01622,0,0.64692,0.51466,0.55974,0.43125,0.63655,0.47189,0.51501,0.36987,0.86188,1.54806,1.09634,0.99768,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,8604.64,0.92377,1.56309,1.01926,1.00984,0,0.67802,0.544,0.57431,0.44752,0.67366,0.51245,0.53916,0.38073,0.85133,1.53921,1.07624,0.99081,0,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,8855.84,0.91917,1.54959,1.00478,1.00908,0,0.67339,0.54457,0.56767,0.43989,0.64798,0.52011,0.52774,0.37474,0.85257,1.51969,1.08171,0.98992,0,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,9105.69,0.91513,1.54541,0.99549,1.00445,0,0.67976,0.54401,0.57433,0.45013,0.64859,0.5145,0.52943,0.37756,0.83711,1.50418,1.06051,0.98739,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,9355.68,0.9111,1.53563,0.97979,1.0031,0,0.71604,0.53329,0.58117,0.45472,0.6985,0.507,0.54267,0.38918,0.83266,1.48749,1.06058,0.98113,0,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,9605.41,0.90436,1.51783,0.96035,0.9968,0,0.66596,0.565,0.58504,0.45975,0.64143,0.53181,0.54573,0.39567,0.82534,1.48309,1.04509,0.9769,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
