epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,222.803,3.17785,6.59372,5.66106,3.96185,0,0.38275,0.01184,0.00617,0.00225,0.38495,0.01361,0.007,0.00288,2.60618,4.04424,3.80911,3.30772,0,0.00997938,0.00332646,0.00997938,0.00332646,0.00997938,0.00332646,0.00997938,0.00332646
2,399.948,2.33399,3.65171,4.16976,2.76122,0,0.43627,0.08146,0.04018,0.01838,0.43294,0.08123,0.03713,0.01713,2.01195,3.5339,3.37412,2.28349,0,0.0198475,0.00661584,0.0198475,0.00661584,0.0198475,0.00661584,0.0198475,0.00661584
3,573.999,1.8802,3.22712,3.34252,2.06474,0,0.32968,0.1803,0.06348,0.03483,0.32769,0.1722,0.05935,0.03274,1.7468,3.19779,3.53075,1.85653,0,0.0295837,0.00986122,0.0295837,0.00986122,0.0295837,0.00986122,0.0295837,0.00986122
4,829.421,1.6727,2.9457,2.92302,1.74807,0,0.38781,0.15061,0.0963,0.05843,0.39005,0.14946,0.09235,0.0539,1.60466,2.89525,2.70619,1.64807,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,996.809,1.54623,2.79535,2.70126,1.60469,0,0.378,0.17341,0.10327,0.06934,0.37474,0.17019,0.10041,0.06503,1.49273,2.75259,2.73678,1.55189,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1162.68,1.47301,2.67201,2.55468,1.51606,0,0.41343,0.18526,0.12696,0.08529,0.42626,0.18178,0.12302,0.07791,1.41412,2.66789,2.44492,1.46664,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1336.19,1.41931,2.5675,2.45135,1.45896,0,0.39329,0.21606,0.14279,0.09957,0.39034,0.20385,0.13761,0.09189,1.35772,2.57806,2.36091,1.40208,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1502.63,1.37776,2.52089,2.36564,1.41266,0,0.35619,0.20768,0.15489,0.10798,0.35223,0.20153,0.14703,0.09714,1.35351,2.49891,2.29939,1.38338,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1675.43,1.33915,2.45013,2.2904,1.37415,0,0.38802,0.20554,0.17299,0.12128,0.3879,0.19679,0.16637,0.10984,1.32624,2.50947,2.20838,1.37175,0,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1846.02,1.3181,2.40323,2.22981,1.35433,0,0.35823,0.2381,0.18281,0.12823,0.4699,0.19722,0.17545,0.11734,1.28914,2.4027,2.16257,1.32565,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,2012.05,1.28264,2.34457,2.1514,1.32242,0,0.40549,0.23189,0.20181,0.14473,0.41029,0.22312,0.19265,0.13088,1.26001,2.35595,2.10076,1.30533,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
