epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,244.162,3.20865,6.61585,5.81457,3.98133,0,0.38484,0.03654,0.00832,0.00292,0.38761,0.0404,0.00893,0.00363,2.67169,4.08901,4.58411,3.28908,0,0.00997938,0.00332646,0.00997938,0.00332646,0.00997938,0.00332646,0.00997938,0.00332646
2,426.919,2.31245,3.66731,4.10928,2.72372,0,0.16781,0.08308,0.03621,0.0161,0.16372,0.07771,0.03411,0.01555,2.01479,3.4966,3.18572,2.32265,0,0.0198475,0.00661584,0.0198475,0.00661584,0.0198475,0.00661584,0.0198475,0.00661584
3,607.293,1.85118,3.23787,3.32076,2.05462,0,0.34339,0.15031,0.06399,0.03488,0.34277,0.14639,0.0594,0.03367,1.7899,3.26589,3.07336,1.89877,0,0.0295837,0.00986122,0.0295837,0.00986122,0.0295837,0.00986122,0.0295837,0.00986122
4,779.81,1.67054,2.97658,2.9425,1.78529,0,0.51979,0.13966,0.07082,0.04047,0.5203,0.13774,0.06777,0.03815,1.6031,2.98073,2.8197,1.72744,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,950.799,1.56822,2.84033,2.74099,1.66866,0,0.4872,0.16621,0.11559,0.07458,0.48393,0.16571,0.11327,0.06973,1.52777,2.82319,2.68176,1.61751,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1230.46,1.50304,2.71832,2.60335,1.5846,0,0.70196,0.12088,0.12546,0.08158,0.70208,0.11797,0.11778,0.07543,1.46902,2.72276,2.53128,1.54011,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1419.75,1.45716,2.62392,2.51056,1.53737,0,0.4813,0.19088,0.13932,0.09252,0.48154,0.18853,0.13273,0.08483,1.37764,2.61251,2.48363,1.48468,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1591.63,1.41567,2.5731,2.43094,1.49678,0,0.4015,0.19753,0.1428,0.09704,0.39618,0.19328,0.13845,0.0901,1.38073,2.53352,2.39915,1.4689,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1763.56,1.39022,2.5143,2.36737,1.46651,0,0.38292,0.19469,0.16293,0.11067,0.38684,0.18845,0.15484,0.09936,1.3436,2.53422,2.28544,1.43845,0,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1936.72,1.35813,2.4644,2.29591,1.43028,0,0.73994,0.1585,0.17236,0.11717,0.73821,0.15774,0.16553,0.1107,1.3364,2.46328,2.24282,1.40019,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,2111.27,1.33198,2.40358,2.23793,1.40698,0,0.39077,0.22068,0.18782,0.13311,0.38025,0.2068,0.17971,0.12057,1.30676,2.45733,2.18576,1.39216,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,2284.2,1.31986,2.38742,2.19828,1.39269,0,0.45039,0.21805,0.18605,0.13126,0.44036,0.20277,0.1738,0.11681,1.26488,2.4786,2.18084,1.35534,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,2518.4,1.29567,2.36501,2.14396,1.36831,0,0.37902,0.24567,0.19625,0.14077,0.38126,0.23009,0.18574,0.12591,1.2587,2.36457,2.1429,1.34616,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,2754.14,1.28563,2.30528,2.1126,1.35627,0,0.40238,0.24511,0.20447,0.14816,0.38511,0.23002,0.19109,0.13199,1.25106,2.36604,2.05494,1.33045,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,2926.6,1.2618,2.27132,2.0568,1.3337,0,0.44509,0.24217,0.21496,0.15389,0.43968,0.22471,0.20047,0.13568,1.21168,2.29207,2.03632,1.31375,0,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,3111.92,1.24867,2.24761,2.01364,1.32075,0,0.34056,0.26164,0.22598,0.16069,0.32924,0.24906,0.21002,0.13886,1.20916,2.27903,1.97323,1.2975,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,3291.26,1.23681,2.21277,1.94941,1.30355,0,0.47451,0.27922,0.23541,0.17351,0.46587,0.26852,0.22396,0.15051,1.18719,2.27117,1.92051,1.27875,0,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,3461.97,1.21687,2.19081,1.92732,1.29338,0,0.39211,0.28566,0.24202,0.17895,0.37794,0.27383,0.22894,0.1557,1.1809,2.2289,1.93685,1.2753,0,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,3635.98,1.21482,2.15505,1.88882,1.28473,0,0.47456,0.27697,0.25907,0.19194,0.45309,0.26423,0.23865,0.16668,1.16741,2.18508,1.87015,1.26529,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,3807.39,1.20218,2.13994,1.83842,1.27002,0,0.41657,0.28588,0.2569,0.18725,0.40941,0.27565,0.24425,0.16549,1.16533,2.16672,1.86078,1.26391,0,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,3979.21,1.18934,2.11254,1.80989,1.26527,0,0.44047,0.29835,0.28008,0.20538,0.4211,0.28489,0.25945,0.1801,1.13295,2.11397,1.76593,1.23125,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,4150.86,1.17659,2.08279,1.76102,1.25459,0,0.5119,0.27707,0.28635,0.21402,0.49026,0.26452,0.26351,0.18455,1.1298,2.11676,1.7567,1.2303,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,4326.29,1.16821,2.07057,1.72909,1.24549,0,0.4136,0.34977,0.31454,0.2334,0.40194,0.33073,0.28959,0.20142,1.12217,2.08545,1.69098,1.21719,0,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,4497.83,1.15616,2.03135,1.69022,1.231,0,0.47197,0.28511,0.31056,0.23648,0.45831,0.27799,0.29263,0.20456,1.09811,2.06959,1.69167,1.20405,0,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,4670.41,1.15468,2.0297,1.65385,1.22408,0,0.4826,0.31881,0.33011,0.24945,0.47051,0.31163,0.31311,0.21776,1.08259,2.01554,1.63588,1.19353,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,4842.6,1.1374,2.00339,1.61601,1.21514,0,0.48106,0.33952,0.33822,0.25287,0.47074,0.3249,0.31875,0.21764,1.06488,2.00152,1.59472,1.17597,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,5016.45,1.13438,1.97321,1.5828,1.20731,0,0.37895,0.41105,0.35826,0.26733,0.36486,0.39689,0.33752,0.23387,1.06845,1.97737,1.53278,1.17188,0,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,5348.48,1.11353,1.92993,1.54898,1.19405,0,0.43582,0.37826,0.3677,0.27195,0.42065,0.35715,0.34378,0.23505,1.06313,1.96854,1.50694,1.16978,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,5520.44,1.1182,1.92747,1.52248,1.19111,0,0.50924,0.38327,0.37569,0.28041,0.49034,0.36828,0.35115,0.24391,1.05605,1.95539,1.49966,1.16323,0,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,5692.05,1.09755,1.91632,1.48546,1.18034,0,0.47863,0.35436,0.38629,0.28801,0.458,0.33952,0.35792,0.24777,1.04348,1.91472,1.45877,1.15747,0,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,5863.2,1.09108,1.89421,1.46399,1.17273,0,0.50882,0.40988,0.40131,0.29933,0.49867,0.38434,0.37418,0.26126,1.04026,1.90882,1.4283,1.14958,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,6036.14,1.08554,1.87893,1.42397,1.16559,0,0.47785,0.41308,0.41216,0.31192,0.46694,0.39081,0.38476,0.27169,1.0202,1.87598,1.39701,1.13836,0,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,6206.39,1.07322,1.85444,1.39128,1.15766,0,0.50514,0.40369,0.41644,0.31558,0.48982,0.38765,0.39303,0.27438,1.01709,1.86099,1.36542,1.13307,0,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,6380.61,1.06821,1.84852,1.37045,1.15235,0,0.54793,0.39586,0.42878,0.32477,0.524,0.38056,0.39952,0.27501,1.003,1.83127,1.36378,1.12378,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,6553.65,1.05905,1.81913,1.33989,1.1482,0,0.51305,0.42897,0.42805,0.32587,0.47125,0.40348,0.3953,0.28199,0.99653,1.82369,1.33837,1.11823,0,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,6738.93,1.06813,1.8436,1.32594,1.14739,0,0.51947,0.43723,0.44586,0.34075,0.50444,0.42139,0.41971,0.29212,0.98705,1.79989,1.32496,1.11141,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
