epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,7778.52,0.8726,1.5194,0.96516,0.95381,0.64484,0.43566,0.485,0.37967,0.63134,0.426,0.46818,0.34691,0.80639,1.50733,1.04502,0.93222,0.007129,0.007129,0.007129
31,8034.13,0.84857,1.48102,0.94272,0.94578,0.5304,0.49091,0.48843,0.37905,0.52112,0.47652,0.46752,0.3433,0.80579,1.52308,1.05193,0.93071,0.00703,0.00703,0.00703
32,8290.01,0.85314,1.48772,0.93301,0.94858,0.61372,0.48827,0.51008,0.40014,0.57533,0.48167,0.48448,0.35977,0.79446,1.49308,1.01771,0.93086,0.006931,0.006931,0.006931
33,8546.15,0.8509,1.48752,0.92606,0.94531,0.61685,0.48547,0.50651,0.39715,0.61123,0.47031,0.4835,0.35585,0.79111,1.48742,1.01707,0.92706,0.006832,0.006832,0.006832
34,8800.86,0.84173,1.47237,0.90368,0.94379,0.62727,0.49921,0.52367,0.41218,0.60046,0.48582,0.49772,0.36868,0.78625,1.46072,1.00676,0.92656,0.006733,0.006733,0.006733
35,9054.69,0.83716,1.44953,0.88844,0.93909,0.61045,0.51202,0.51689,0.40897,0.59531,0.50076,0.49659,0.36544,0.78158,1.44354,1.00444,0.92328,0.006634,0.006634,0.006634
36,9315.54,0.8406,1.45756,0.88311,0.93819,0.60055,0.51434,0.51481,0.41043,0.58631,0.50312,0.49663,0.36869,0.77157,1.43485,0.98746,0.91772,0.006535,0.006535,0.006535
37,9573.33,0.83518,1.44036,0.8612,0.93532,0.62555,0.51283,0.52608,0.41479,0.62628,0.49196,0.50683,0.37267,0.76916,1.41675,1.00284,0.91913,0.006436,0.006436,0.006436
38,9832.34,0.82689,1.43289,0.8468,0.93351,0.61713,0.49716,0.52433,0.41137,0.62386,0.46832,0.50132,0.36857,0.76602,1.4079,0.97704,0.91717,0.006337,0.006337,0.006337
39,10089.3,0.81176,1.3998,0.83663,0.93188,0.63809,0.51429,0.53272,0.42351,0.63152,0.50327,0.51526,0.37981,0.75939,1.39276,0.96829,0.91389,0.006238,0.006238,0.006238
40,10345.2,0.81482,1.4123,0.83319,0.92945,0.58762,0.53152,0.53341,0.42594,0.6153,0.49279,0.51285,0.3813,0.7442,1.38225,0.9567,0.91118,0.006139,0.006139,0.006139
41,10600.7,0.81165,1.40224,0.8217,0.92896,0.65618,0.52109,0.54078,0.43532,0.63768,0.50723,0.52065,0.39372,0.7366,1.39034,0.95703,0.90956,0.00604,0.00604,0.00604
42,10855.3,0.81025,1.38778,0.81799,0.92701,0.62118,0.53708,0.5364,0.43299,0.61285,0.52268,0.52131,0.38731,0.73882,1.36977,0.94292,0.9086,0.005941,0.005941,0.005941
43,11114.4,0.80253,1.38071,0.81187,0.92478,0.61508,0.54335,0.54471,0.43342,0.59664,0.53083,0.52245,0.38815,0.73754,1.36119,0.93768,0.90652,0.005842,0.005842,0.005842
44,11369.2,0.79441,1.36498,0.78938,0.92256,0.66282,0.54454,0.54969,0.43851,0.64104,0.52888,0.52359,0.39119,0.72865,1.35992,0.93204,0.90208,0.005743,0.005743,0.005743
45,11623.9,0.79111,1.36714,0.78378,0.91762,0.59488,0.54963,0.54264,0.43824,0.57943,0.53799,0.52395,0.39311,0.72755,1.34,0.9347,0.901,0.005644,0.005644,0.005644
46,11880.4,0.79571,1.35717,0.78895,0.9199,0.66517,0.54902,0.55472,0.44743,0.65998,0.5269,0.52892,0.39565,0.72339,1.33472,0.92796,0.89768,0.005545,0.005545,0.005545
