epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,133.303,1.10377,2.323,2.84747,1.09549,0,0.43286,0.24534,0.20467,0.15365,0.42111,0.2422,0.19961,0.1399,1.04349,2.16707,1.86852,1.04747,0,0.00997938,0.00332646,0.00997938,0.00332646,0.00997938,0.00332646,0.00997938,0.00332646
2,244.698,1.11516,2.19014,1.89242,1.06904,0,0.45384,0.18353,0.14767,0.10633,0.44491,0.17947,0.14246,0.09371,1.26631,2.60731,2.26116,1.15542,0,0.0198475,0.00661584,0.0198475,0.00661584,0.0198475,0.00661584,0.0198475,0.00661584
3,353.96,1.30212,2.47905,2.13064,1.16667,0,0.3586,0.18051,0.1153,0.07734,0.36232,0.17843,0.11325,0.0732,1.48804,2.99237,2.64198,1.30764,0,0.0295837,0.00986122,0.0295837,0.00986122,0.0295837,0.00986122,0.0295837,0.00986122
4,457.52,1.32862,2.51818,2.13347,1.17355,0,0.52923,0.16832,0.15416,0.1055,0.52577,0.15979,0.14419,0.09564,1.29547,2.62676,2.19667,1.1956,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,561.698,1.2562,2.4156,2.00411,1.15346,0,0.20838,0.22935,0.1808,0.13187,0.20254,0.21995,0.17334,0.121,1.25794,2.47547,2.01126,1.15768,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,665.421,1.21446,2.3184,1.88825,1.12549,0,0.38121,0.23397,0.18622,0.13249,0.35937,0.22465,0.17707,0.1206,1.23959,2.44977,1.98427,1.1469,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,770.35,1.18169,2.23242,1.79703,1.10401,0,0.47711,0.24409,0.21988,0.15927,0.48092,0.2278,0.21088,0.14728,1.17767,2.30564,1.8504,1.11017,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,876.127,1.14719,2.17899,1.70699,1.08411,0,0.48337,0.25417,0.24026,0.17795,0.47931,0.24979,0.23186,0.15962,1.12472,2.21332,1.77411,1.09254,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,981.805,1.11659,2.1101,1.63877,1.07222,0,0.38827,0.2535,0.24417,0.183,0.37317,0.24337,0.23071,0.16446,1.13588,2.21593,1.77219,1.08021,0,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1087.17,1.09526,2.06036,1.55996,1.05711,0,0.38701,0.29339,0.28024,0.20853,0.35968,0.28609,0.26589,0.18203,1.08176,2.14858,1.6566,1.04971,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,1191.22,1.07387,2.00316,1.49744,1.0456,0,0.50924,0.27398,0.29366,0.22112,0.50341,0.26553,0.27522,0.19252,1.06938,2.09932,1.63027,1.05087,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,1295.16,1.05961,1.98032,1.44577,1.03992,0,0.35185,0.34854,0.30831,0.22724,0.33861,0.34307,0.2921,0.20635,1.03726,2.03569,1.58731,1.03485,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,1399.19,1.03308,1.93602,1.38738,1.02244,0,0.3755,0.36893,0.32698,0.24093,0.37931,0.35033,0.31046,0.21338,1.02356,1.9878,1.48861,1.03001,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,1503.32,1.02917,1.8932,1.34872,1.02182,0,0.44733,0.34855,0.35508,0.26602,0.43448,0.33262,0.33144,0.2388,1.00148,1.9727,1.41896,1.01806,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,1607.45,1.01304,1.84986,1.28704,1.01062,0,0.45485,0.38266,0.37991,0.2885,0.4372,0.37867,0.36163,0.25649,0.99454,1.89656,1.33884,1.01376,0,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,1711.14,1.00118,1.82862,1.24931,1.00129,0,0.50678,0.36781,0.37559,0.28319,0.49059,0.35402,0.35583,0.25413,0.97955,1.89227,1.34585,1.00815,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,1814.79,0.98534,1.7955,1.19886,0.9938,0,0.51848,0.36401,0.38419,0.29167,0.50452,0.35574,0.3693,0.26028,0.97284,1.87519,1.33566,0.99912,0,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,1918.3,0.96843,1.76556,1.1768,0.99127,0,0.56945,0.40118,0.41729,0.30859,0.54993,0.3818,0.39481,0.28045,0.94437,1.79232,1.27474,0.98903,0,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,2022.15,0.96461,1.73797,1.1417,0.983,0,0.50988,0.40716,0.42217,0.31955,0.49279,0.39644,0.40341,0.28632,0.93379,1.78391,1.22802,0.97969,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,2126.12,0.95623,1.72782,1.1034,0.97722,0,0.53806,0.41227,0.43244,0.32466,0.52089,0.40046,0.40603,0.28944,0.92808,1.76656,1.18144,0.98573,0,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,2229.89,0.9475,1.7243,1.08254,0.97802,0,0.59966,0.44766,0.47112,0.35932,0.54865,0.4201,0.43971,0.31399,0.91994,1.73997,1.18908,0.97543,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,2334.28,0.93761,1.69041,1.05763,0.97095,0,0.50982,0.44121,0.45492,0.34462,0.49844,0.43339,0.43982,0.31381,0.90454,1.71291,1.134,0.96531,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,2437.88,0.92871,1.67243,1.03388,0.96649,0,0.61795,0.42931,0.46453,0.35831,0.60381,0.41843,0.44113,0.32421,0.90431,1.68896,1.15221,0.96304,0,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,2541.59,0.92078,1.64799,1.01259,0.96287,0,0.56652,0.45383,0.47564,0.36804,0.5595,0.43907,0.4481,0.32415,0.88643,1.64813,1.13023,0.95929,0,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,2645.8,0.9232,1.647,0.99745,0.95941,0,0.59873,0.49472,0.48917,0.37388,0.57055,0.4744,0.46248,0.33534,0.86728,1.62928,1.10487,0.95253,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,2750.07,0.90287,1.61853,0.96894,0.95474,0,0.61154,0.46977,0.49294,0.37534,0.5987,0.46006,0.47096,0.33259,0.85372,1.63492,1.07075,0.94782,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,2854.34,0.9056,1.60467,0.95676,0.95294,0,0.6355,0.48459,0.5073,0.39417,0.58918,0.46759,0.47218,0.344,0.84586,1.60669,1.05857,0.94286,0,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
