epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,184.202,3.12381,5.98889,5.56001,3.88847,0,0.31391,0.03984,0.01288,0.00493,0.31335,0.0415,0.0137,0.00596,2.53137,4.05042,3.64972,3.16723,0,0.00997938,0.00332646,0.00997938,0.00332646,0.00997938,0.00332646,0.00997938,0.00332646
2,343.375,2.19853,3.62073,3.9249,2.64345,0,0.4394,0.07962,0.03632,0.01809,0.43534,0.07859,0.03546,0.01663,2.02564,3.51299,3.30805,2.38806,0,0.0198475,0.00661584,0.0198475,0.00661584,0.0198475,0.00661584,0.0198475,0.00661584
3,524.958,1.83878,3.21142,3.26628,2.10813,0,0.43402,0.16892,0.06954,0.03808,0.4393,0.165,0.06739,0.03723,1.73404,3.24134,3.26413,1.95821,0,0.0295837,0.00986122,0.0295837,0.00986122,0.0295837,0.00986122,0.0295837,0.00986122
4,676.182,1.67333,2.95908,2.9211,1.82776,0,0.53278,0.12512,0.08597,0.05043,0.53197,0.12246,0.08409,0.04827,1.60194,2.90966,2.81336,1.75323,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,827.318,1.56676,2.81499,2.70175,1.70129,0,0.4671,0.16565,0.09788,0.05893,0.46822,0.16575,0.09598,0.05452,1.56072,2.80128,2.62187,1.66599,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,978.284,1.50544,2.7076,2.5648,1.61844,0,0.47608,0.17283,0.13397,0.08433,0.47219,0.17454,0.12907,0.07763,1.46909,2.6976,2.4619,1.58759,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1129.01,1.45847,2.61561,2.46526,1.56775,0,0.39441,0.20397,0.13593,0.09255,0.39606,0.19747,0.13194,0.08662,1.40991,2.62101,2.38079,1.51491,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1279.8,1.42115,2.55721,2.38657,1.52035,0,0.32436,0.19552,0.14845,0.10031,0.31936,0.19159,0.14317,0.09257,1.37634,2.54975,2.31491,1.48881,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1429.84,1.38941,2.50039,2.31874,1.48982,0,0.33843,0.20632,0.16988,0.11454,0.35059,0.18907,0.16168,0.10562,1.34386,2.51247,2.20623,1.44563,0,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1580.63,1.36316,2.46106,2.25288,1.45619,0,0.71584,0.15587,0.18206,0.12421,0.64566,0.15366,0.17251,0.11483,1.30578,2.4175,2.1853,1.40833,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
